cnae_nota,id_cidade_empresa,regime_tributacao_empresa,id_servico_prestado_nota,quantidade_empresas,quantidade_notas,total_empresas_grupo,total_notas_grupo
1813001,8521,SIMPLES_NACIONAL,1f50f150-42b2-45b5-9c5d-32b61ce90bdd,1,3,1,3
1813001,8628,SIMPLES_NACIONAL,48b650d1-f69f-4d2d-adec-05540fa0fe7b,1,178,1,178
1813001,8700,SIMPLES_NACIONAL,5ef32bba-126f-4c58-8d15-e50ab0685a59,1,124,1,124
1813001,8864,SIMPLES_NACIONAL,e1fe465b-c58e-4d2c-a70c-289ae04f8e74,1,47,1,47
1813001,8867,SIMPLES_NACIONAL,6b8d6c6c-5891-486a-8297-de18fe88c432,1,5,1,5
1813001,8868,SIMPLES_NACIONAL,9967756c-af7b-409b-aa18-6f0da4fcd26f,1,12,2,14
1813001,8868,SIMPLES_NACIONAL,af14dc5e-efb0-44cb-ba95-e10f9e1679b1,1,2,2,14
1813001,8946,SIMPLES_NACIONAL,45f593ac-3c13-476a-a664-6ef69651e135,1,54,4,154
1813001,8946,SIMPLES_NACIONAL,8337754c-896d-4422-8436-662046f126ce,1,10,4,154
1813001,8946,SIMPLES_NACIONAL,9937aacf-976e-4e60-b8e3-5570ea4fc079,1,88,4,154
1813001,8946,SIMPLES_NACIONAL,a8129bf1-eb26-4ed3-86dd-6083b7442916,1,2,4,154
1813001,9668,NORMAL,239a6a8b-bbf1-44af-96ad-4679d3cd9f51,1,280,1,280
1813001,9668,SIMPLES_NACIONAL,239a6a8b-bbf1-44af-96ad-4679d3cd9f51,1,5,6,47
1813001,9668,SIMPLES_NACIONAL,25cc8932-0600-4a61-8440-e526f98faafc,1,2,6,47
1813001,9668,SIMPLES_NACIONAL,3ead24a9-0087-4a11-a9b0-99b9e16de7cf,1,31,6,47
1813001,9668,SIMPLES_NACIONAL,bd117810-dd57-4a1b-845b-e9d3f15b86dd,1,3,6,47
1813001,9668,SIMPLES_NACIONAL,c838ada2-e99f-453e-9e20-4179395fcef8,1,4,6,47
1813001,9668,SIMPLES_NACIONAL,d01d6f97-fa25-4b4d-9ef7-7f3f406b6982,1,2,6,47
1813099,430,SIMPLES_NACIONAL,dbdfcd79-c4e6-452f-9aef-94e550ab127e,1,46,1,46
1813099,1778,SIMPLES_NACIONAL,49407486-961b-4baa-8f0d-40082c5843de,5,9100,5,9100
1813099,1820,SIMPLES_NACIONAL,60ef1cae-8067-47e5-8e30-1f4644087fa4,1,12,1,12
1813099,1872,SIMPLES_NACIONAL,636b0542-6775-4607-874e-604931683fb7,1,369,1,369
1813099,2743,SIMPLES_NACIONAL,d65b6bfc-15c7-4e01-94f5-8053ef174a94,1,399,1,399
1813099,4493,SIMPLES_NACIONAL,6a2f9538-5e28-4d89-9243-e9e78701815f,1,1,1,1
1813099,5302,SIMPLES_NACIONAL,9e93ba4f-f395-4e00-a3ef-d6f69a9fc829,1,468,1,468
1813099,5406,SIMPLES_NACIONAL,241c5e16-7d57-44fb-8d78-ef9edeba169d,2,131,4,137
1813099,5406,SIMPLES_NACIONAL,5ff0c584-bbf0-437c-a0bc-d7214cf527b8,1,4,4,137
1813099,5406,SIMPLES_NACIONAL,94574a25-4857-42c1-babd-3c9915b8bd84,1,2,4,137
1813099,6015,SIMPLES_NACIONAL,f295315a-1cce-46a0-a779-80f56f4f2944,2,118,2,118
1813099,6021,NORMAL,92d4c89d-55d6-4fb8-a889-260878b4c4a8,1,91,1,91
1813099,6270,SIMPLES_NACIONAL,c81d4595-0bc8-442e-929f-cf9a1c3189fd,1,89,1,89
1813099,7389,SIMPLES_NACIONAL,9e0da83b-34b4-4b4e-88e5-33885313a4ad,1,5,1,5
1813099,7405,SIMPLES_NACIONAL,7bc38a8f-c783-474b-9ba2-78c5db8e3e27,1,2,1,2
1813099,7533,SIMPLES_NACIONAL,8853294c-d459-4690-a6eb-3c6efeeaf0c1,1,2,1,2
1813099,7994,SIMPLES_NACIONAL,ad236348-24a7-4774-a2a5-3e82bfe5f50e,1,3,1,3
1813099,8404,SIMPLES_NACIONAL,754f802e-4639-475b-806f-a3c7c3de9fa7,1,16,2,22
1813099,8404,SIMPLES_NACIONAL,a0760517-9661-401e-9e0e-081238cf1d3d,1,6,2,22
1813099,8521,SIMPLES_NACIONAL,1f50f150-42b2-45b5-9c5d-32b61ce90bdd,1,1154,1,1154
1813099,8650,SIMPLES_NACIONAL,a8021bca-8919-4eb1-bb62-0db5d54e721c,1,6,1,6
1813099,8864,SIMPLES_NACIONAL,e1fe465b-c58e-4d2c-a70c-289ae04f8e74,1,1,2,197
1813099,8864,SIMPLES_NACIONAL,ec2f9feb-8ab3-4bdf-bebc-a4d2db97f750,1,196,2,197
1813099,8946,SIMPLES_NACIONAL,45f593ac-3c13-476a-a664-6ef69651e135,1,16,2,68
1813099,8946,SIMPLES_NACIONAL,9937aacf-976e-4e60-b8e3-5570ea4fc079,1,52,2,68
1813099,8982,SIMPLES_NACIONAL,85334c8f-b93f-4a17-a77a-64932c243ad7,1,4,1,4
1813099,9042,SIMPLES_NACIONAL,58503146-1595-4062-bbb8-1b6854a04e27,1,1,1,1
1813099,9355,SIMPLES_NACIONAL,124e7cac-5fa4-4307-aa00-77f4246abb2e,1,5,1,5
1813099,9668,NORMAL,bd117810-dd57-4a1b-845b-e9d3f15b86dd,1,303,1,303
